('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 1.271, 'Y : ', -31.344)








('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 7.112, 'Y : ', -29.25)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 1.271, 'Y : ', -31.344)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 0.825, 'Y : ', -2.797)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 4.359, 'Y : ', -8.478)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -2.311, 'Y : ', 0.812)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 8.929, 'Y : ', -6.393)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 7.112, 'Y : ', -29.25)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 1.271, 'Y : ', -31.344)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 0.825, 'Y : ', -2.797)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 4.359, 'Y : ', -8.478)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -2.311, 'Y : ', 0.812)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 6.917, 'Y : ', 5.439)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 12.955, 'Y : ', 6.575)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 11.158, 'Y : ', 10.159)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 6.917, 'Y : ', 5.439)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 12.955, 'Y : ', 6.575)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 8.258, 'Y : ', 2.47)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 11.158, 'Y : ', 10.159)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 6.917, 'Y : ', 5.439)




('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.914, 'Y : ', -0.274)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 3.181, 'Y : ', -4.412)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.914, 'Y : ', -0.274)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.497, 'Y : ', -0.957)








('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 4.541, 'Y : ', -1.982)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 3.181, 'Y : ', -4.412)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.497, 'Y : ', -0.957)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -1.32, 'Y : ', 0.891)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.914, 'Y : ', -0.274)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 0.731, 'Y : ', -28.605)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 5.341, 'Y : ', 3.661)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 5.341, 'Y : ', -1.952)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.015, 'Y : ', -5.45)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 5.341, 'Y : ', 3.661)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 5.341, 'Y : ', -1.952)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.015, 'Y : ', -5.45)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 0.778, 'Y : ', -1.019)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.658, 'Y : ', -0.86)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 5.341, 'Y : ', 3.661)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -2.525, 'Y : ', -3.679)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.108, 'Y : ', -0.188)








('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -2.525, 'Y : ', -3.679)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.108, 'Y : ', -0.188)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.304, 'Y : ', 1.452)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.496, 'Y : ', -0.519)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 1.097, 'Y : ', 2.382)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.462, 'Y : ', -1.456)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -2.525, 'Y : ', -3.679)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.108, 'Y : ', -0.188)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.304, 'Y : ', 1.452)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.496, 'Y : ', -0.519)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 1.097, 'Y : ', 2.382)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.166, 'Y : ', 1.229)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 6.489, 'Y : ', 5.447)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.166, 'Y : ', 1.229)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.384, 'Y : ', 1.839)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 8.737, 'Y : ', 0.926)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 6.489, 'Y : ', 5.447)


('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.166, 'Y : ', 1.229)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 6.489, 'Y : ', 5.447)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 8.737, 'Y : ', 0.926)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.384, 'Y : ', 1.839)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 5.583, 'Y : ', -0.283)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.573, 'Y : ', -28.461)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.13, 'Y : ', -3.558)








('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.573, 'Y : ', -28.461)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.13, 'Y : ', -3.558)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.721, 'Y : ', 1.585)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 4.084, 'Y : ', 1.956)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -1.076, 'Y : ', 1.698)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 1.221, 'Y : ', -0.378)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.573, 'Y : ', -28.461)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.13, 'Y : ', -3.558)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.721, 'Y : ', 1.585)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 4.084, 'Y : ', 1.956)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -1.076, 'Y : ', 1.698)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.832, 'Y : ', -11.461)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -7.645, 'Y : ', 0.477)








('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.832, 'Y : ', -11.461)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -7.645, 'Y : ', 0.477)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.463, 'Y : ', -1.619)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 5.903, 'Y : ', -8.317)
